patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,948272689616,10/09/1993,0324206073,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Tiểu đường,11.32,Linh Phạm,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Vi Nguyễn,215115372719,05/01/1969,0577314932,johnhoang@example.org,"1 Jane Khu
JohnXã, 736745",Huyết áp cao,4.11,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Kim Hoàng Trần,780036456019,30/05/1968,0358101502,vujohn@example.net,"6 Trần Tổ
Thị xã JaneThành phố, 554582",Tiểu đường,7.18,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Trọng Mai,266700457193,28/02/2001,0994093915,ubui@example.net,"473 Hoàng Số
JohnThị xã, 992288",Tiểu đường,7.11,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tùng Nguyễn,560539494649,02/09/2005,0959469755,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Khỏe mạnh,9.27,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Nhật Tấn Đặng,625945362766,10/02/1997,0971166813,jane43@example.org,"823 Jane Khu
JohnQuận, 410636",Tiểu đường,5.95,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ngọc Mai,062756128960,13/02/1975,0532488756,janetran@example.org,"75 John Khu
JohnThành phố, 520172",Tim mạch,4.63,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Vũ Phạm,436328362966,25/06/1951,0961256455,mhoang@example.net,"74 Vũ Đường
Quận JohnHuyện, 792509",Huyết áp cao,7.66,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Nhật Mai Bảo Vũ,898546468539,20/10/1939,0309071850,janevu@example.net,"3 Hoàng Làng
JohnXã, 335729",Tim mạch,4.4,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Bảo Trần,139697473377,24/02/1999,0921012855,jane48@example.net,"0 Đặng Khu
Thành phố JohnPhường, 976566",Tiểu đường,10.2,Vi Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ông Anh Lê,533969019418,06/09/1994,0514432020,etran@example.com,"1 Jane Số
JanePhường, 519904",Tiểu đường,9.66,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Phương Văn Mai,529549558584,26/03/1998,0811323929,mnguyen@example.net,"7 John Khu
Huyện JanePhường, 608257",Khỏe mạnh,10.89,An Hoàng,16/02/2026
8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Vân Bùi,240935176639,17/01/1948,0349031245,johnduong@example.org,"48 Bùi Dãy
JohnThị xã, 678043",Tiểu đường,9.55,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Hạnh Bùi,671717918595,13/08/1981,0862218941,john44@example.net,"787 Đặng Số
JaneQuận, 831380",Tim mạch,5.55,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Kim Trí Dương,386487409211,25/05/1940,0721908931,janetran@example.com,"262 Jane Khu
JanePhường, 184216",Tiểu đường,7.25,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Duyên Trần,770592247248,24/04/1967,0909446880,john16@example.org,"24 John Tổ
Huyện JaneHuyện, 551607",Tim mạch,10.77,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Cô Khoa Bùi,518809828650,19/02/1968,0313414779,jhoang@example.org,"40 Vũ Hẻm
Thị xã JaneXã, 413685",Khỏe mạnh,11.34,Nhật Đức Dương,28/02/2026
da743152-627b-41a1-bfd6-f23232ffe294,Ông Quang Bùi,901989588635,18/03/1984,0916713843,jane06@example.com,"7 Phạm Tổ
Quận JanePhường, 892280",Tim mạch,5.32,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Hoàng Quang Vũ,588870319378,29/10/1979,0581891683,mle@example.org,"8 Lê Khu
JanePhường, 455168",Tiểu đường,4.48,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Phương Phú Trần,502772793634,22/01/1989,0889532120,vujohn@example.com,"6 Trần Làng
JohnXã, 688678",Khỏe mạnh,11.24,Trọng Hải Trần,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Huy Trần,575234763689,20/05/1954,0945138691,nguyenjane@example.com,"2 Dương Tổ
JohnThị xã, 786735",Tiểu đường,10.53,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Trung Mai Dương,817598207459,30/06/1967,0926130152,john58@example.net,"31 Trần Làng
Thành phố JaneQuận, 232040",Khỏe mạnh,7.88,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Bà Vi Lê,445742582997,29/09/1935,0942260631,john28@example.com,"0 John Tổ
Huyện JohnQuận, 378258",Tiểu đường,8.92,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Bác Minh Hoàng,545139497104,15/03/1950,0722523780,omai@example.net,"00 Bùi Số
Thị xã JaneThành phố, 184714",Tim mạch,8.53,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Thành Thế Dương,354953628676,01/03/2004,0716142918,ytran@example.net,"73 Đặng Dãy
JanePhường, 199704",Huyết áp cao,5.89,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Ông Vũ Trần,988952385839,18/01/1948,0374847759,vtran@example.net,"0 Trần Số
JanePhường, 153945",Khỏe mạnh,9.08,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Quý cô Lâm Trần,396329000386,04/01/1983,0716560571,john49@example.org,"4 John Khu
JaneHuyện, 106402",Huyết áp cao,6.81,Chị Khoa Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Hương Mai,830451157537,21/08/1964,0793776035,dbui@example.com,"5 John Hẻm
Thành phố JohnHuyện, 564637",Huyết áp cao,5.5,Nhật Mai Bùi,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Huy Đức Vũ,866520938541,03/08/2001,0531138006,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Tim mạch,4.84,Chị Kim Mai,14/02/2026
ab05347f-d556-437d-8f08-81ee8011316b,Vũ Hữu Nguyễn,841053394283,23/09/1994,0361807636,duongjohn@example.com,"6 Trần Số
Huyện JohnXã, 582446",Tiểu đường,3.62,Vũ Bảo Trần,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Kim Vũ,446845464212,26/07/1981,0529709063,janele@example.org,"8 Jane Tổ
Quận JohnQuận, 368402",Huyết áp cao,7.68,Chị Duyên Lê,08/05/2026
c5d95f51-f387-41bd-ad59-72c6134a5a2f,Quý ông Nhiên Hoàng,455592307379,15/06/1996,0947040234,jane27@example.org,"90 Mai Ngõ
JaneThị xã, 139434",Tim mạch,5.21,Linh Vũ,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Khoa Hoàng,515028567615,15/05/2004,0957574002,lduong@example.net,"93 Hoàng Dãy
Thành phố JaneThành phố, 950360",Tim mạch,5.2,Vũ Xuân Nguyễn,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Bà Thành Vũ,639872275179,01/02/1988,0708709999,rdang@example.net,"518 Vũ Khu
Huyện JohnXã, 795847",Huyết áp cao,10.91,Bà Hạnh Bùi,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Tùng Bùi,048369002516,24/01/1980,0991295431,johnbui@example.net,"23 Dương Làng
Quận JohnThành phố, 410160",Tim mạch,11.01,Phương Mai,13/04/2026
e05b46c5-5636-4094-a974-31db09a9d1c1,Quý cô Bảo Lê,640396511074,21/12/1959,0501978852,janenguyen@example.com,"94 Phạm Làng
JaneQuận, 485709",Tiểu đường,5.9,Quý ông Khoa Bùi,08/04/2026
297ca4ff-f75d-499f-ab2d-5b0987079ad4,Chị Ánh Vũ,876579408120,17/06/1942,0787573335,jdang@example.org,"12 Dương Hẻm
JohnQuận, 956375",Huyết áp cao,11.59,Bác Nam Bùi,11/01/2026
3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,Hà Phú Phạm,905531229654,13/03/1939,0731345871,john52@example.org,"2 Dương Đường
Thành phố JaneQuận, 975522",Tim mạch,11.63,Quý cô Hà Vũ,16/02/2026
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Hải Mai Trần,938239755890,12/06/1950,0947695945,ihoang@example.org,"2 Bùi Đường
JohnXã, 536802",Tim mạch,7.92,Cô Phương Đặng,14/01/2026
81e03a5e-8b48-4496-86ab-d4e7f4124360,Hồng Dương,258652860652,14/04/1941,0854109257,qdang@example.net,"31 Lê Đường
JanePhường, 283594",Huyết áp cao,7.28,Quý ông Phúc Lê,13/01/2026
752a7d25-f190-4b7e-86b4-69efb74eba93,Thảo Phạm,218028175832,27/04/1941,0852107630,johndang@example.com,"03 Đặng Đường
JaneThành phố, 938171",Tim mạch,3.91,Huy Hữu Dương,17/03/2026
7f072cb9-2fd3-40c0-b945-f2fd56cb1ab0,Bác Minh Vũ,264892727379,08/08/1946,0702578278,btran@example.net,"Huyện JaneThành phố
44 Hoàng Số, 274739",Tim mạch,8.37,Bác Bảo Nguyễn,10/03/2026
46494296-6f58-42c3-bf86-cc319d66e815,Hương Bùi,769476853552,21/10/1984,0869757224,johnle@example.net,"213 Đặng Số
Quận JaneHuyện, 490084",Tiểu đường,11.77,Ông Nhiên Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Quang Trần,432960403453,20/11/1938,0937726813,janemai@example.com,"47 Jane Dãy
Thành phố JohnThành phố, 574001",Huyết áp cao,6.92,Quý cô Hà Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Khoa Lê,824846615188,20/01/1959,0869887224,john13@example.org,"589 Dương Hẻm
Thành phố JaneThị xã, 851759",Khỏe mạnh,5.86,Quý ông Huy Hoàng,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Nhật Dương,720462439307,09/10/2005,0845554775,john89@example.org,"80 John Khu
Quận JanePhường, 336422",Khỏe mạnh,6.65,Minh Thế Trần,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Hoàng Vũ,915834250300,19/12/2007,0558741638,maijohn@example.net,"995 John Ngõ
Huyện JohnXã, 536822",Tiểu đường,7.78,Chi Mai,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Quý cô Thảo Dương,032074008862,16/04/1945,0790900087,lejane@example.com,"92 Đặng Tổ
JohnHuyện, 639995",Tim mạch,10.87,Thành Phạm,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Cô An Vũ,699726938099,23/08/1987,0773376275,kpham@example.com,"278 Dương Khu
JohnThành phố, 512344",Tiểu đường,9.01,Anh Trung Hoàng,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Bác Tùng Nguyễn,222978961697,27/12/1949,0872710277,qle@example.net,"06 John Tổ
JohnThị xã, 628750",Tim mạch,9.41,Bác Trọng Hoàng,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Dũng Phú Lê,345942548019,14/06/1962,0725525774,cmai@example.org,"87 John Tổ
JohnThị xã, 746447",Huyết áp cao,4.08,Nhiên Đặng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Châu Nguyễn,297538397538,29/06/1985,0858969833,john69@example.com,"7 Hoàng Làng
Thị xã JohnXã, 759580",Khỏe mạnh,7.77,Bảo Hải Nguyễn,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Chi Đặng,753762014769,09/05/1992,0745770968,janepham@example.com,"0 John Tổ
JaneHuyện, 281594",Tim mạch,8.02,Bác Tùng Đặng,05/05/2026
9c2dfa97-43ad-4d62-b17c-fb21cdbc2c1c,Anh Quang Vũ,440323362455,26/12/1975,0595304991,janevu@example.net,"75 Vũ Ngõ
JaneHuyện, 910616",Huyết áp cao,9.91,Bà An Vũ,16/01/2026
a7edc8d8-713f-4f8c-ac8b-e53758ab4778,Châu Phạm,279682301570,10/11/1962,0736876596,jane21@example.net,"083 John Ngõ
JanePhường, 595351",Khỏe mạnh,9.56,Hải Lê,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Quý cô Hải Dương,781119843946,04/05/2000,0806074732,janedang@example.com,"9 John Hẻm
JohnThành phố, 976822",Huyết áp cao,4.43,Nhật Xuân Vũ,08/01/2026
9a4ffc0c-9165-42ed-8c63-6e95025f5543,Thành Vũ,714553147023,12/03/1997,0343255057,gle@example.com,"27 Lê Đường
JaneXã, 807160",Tiểu đường,11.75,Chị Duyên Bùi,25/03/2026
669d01ff-1634-425b-93f3-007383e96ef4,Bảo Lê,624625800557,04/05/2000,0515604508,john04@example.com,"49 Jane Tổ
Thành phố JohnThị xã, 421709",Tiểu đường,9.91,Quý cô Hải Mai,02/03/2026
ea87855e-a382-45d3-9e0e-f546b0b6dedf,Quang Hoàng,730169039610,01/06/1965,0711911323,johnduong@example.org,"87 John Ngõ
JaneThành phố, 691573",Huyết áp cao,11.16,An Mai,09/04/2026
265cb9d9-8962-4f6e-929c-93b333c08bf1,Bà Phương Dương,128272941337,07/03/1951,0776163779,janetran@example.net,"28 Dương Đường
JanePhường, 122827",Tim mạch,9.11,Hạnh Văn Phạm,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Phương Nguyễn,281384673297,01/10/1944,0895090193,snguyen@example.com,"6 Bùi Dãy
JaneThành phố, 815894",Tim mạch,6.37,Bà Hà Lê,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Cô Vi Nguyễn,990106803563,19/12/1975,0962079489,bmai@example.net,"752 Phạm Ngõ
Thị xã JohnQuận, 316092",Tim mạch,9.24,Hà Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Mai Nguyễn,681414145216,08/02/1990,0826589639,ipham@example.org,"843 Hoàng Tổ
Huyện JohnPhường, 646571",Huyết áp cao,10.46,Quý cô Thảo Vũ,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Quý cô Phương Dương,896486712395,27/09/1941,0841698624,jane85@example.net,"62 Phạm Làng
JohnThị xã, 160423",Huyết áp cao,6.13,Kim Trí Bùi,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Nhật Đặng,297121782777,11/12/1947,0838210953,johnvu@example.com,"398 Jane Làng
JaneThành phố, 322096",Khỏe mạnh,11.92,Cô Yến Dương,17/02/2026
345af934-b42a-4d93-9aba-0f15b2149062,Lâm Tấn Vũ,609050881330,02/03/1987,0913601225,pmai@example.com,"7 Trần Dãy
JohnHuyện, 428122",Khỏe mạnh,9.98,An Hải Lê,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Hạnh Trí Phạm,306673471730,02/04/1980,0702547567,janehoang@example.org,"77 Lê Tổ
Quận JaneQuận, 668471",Huyết áp cao,3.67,Vân Nguyễn,15/01/2026
0c6b7074-ab10-4c9b-9168-2e09f1f7d904,Hồng Lê,336515654850,09/11/1966,0878911240,lejohn@example.org,"997 Nguyễn Đường
JohnThành phố, 655134",Khỏe mạnh,11.72,Tùng Vũ,04/01/2026
ac8d6c7d-b2a6-4468-902b-124380913ac1,Bảo Đức Trần,556324710191,23/09/2006,0372067114,johnpham@example.net,"61 Bùi Dãy
Quận JanePhường, 968286",Tiểu đường,3.67,Hải Nguyễn,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Ông Nam Lê,936825025182,12/08/1946,0926903707,pbui@example.com,"0 John Dãy
JohnThành phố, 817675",Tiểu đường,9.07,Tùng Hoàng,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Nam Hoàng Hoàng,377300679310,25/12/1954,0950189658,ttran@example.org,"8 Bùi Hẻm
Huyện JohnThành phố, 558320",Tim mạch,4.3,Cô Linh Hoàng,30/04/2026
f80b2cea-658e-44a2-9879-cf35f4719986,Nam Đức Dương,735626595835,17/02/2002,0510256126,janemai@example.com,"943 John Khu
Thị xã JohnPhường, 508548",Huyết áp cao,11.74,Quang Đức Trần,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Tú Lê,480296115565,29/03/1947,0809526220,janeduong@example.net,"015 Jane Số
Huyện JaneThị xã, 917018",Huyết áp cao,8.99,Nhật Mai,17/02/2026
af70de70-2b69-495e-8567-1b58926bffa5,Bảo Trí Vũ,485813417618,05/05/1976,0833900511,jane21@example.org,"71 Vũ Làng
JohnThị xã, 212168",Tim mạch,10.9,Bà An Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Bảo Tấn Bùi,366766584074,19/11/1953,0588310470,jane93@example.com,"47 Jane Số
JaneHuyện, 219420",Khỏe mạnh,7.07,Chị Dương Mai,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Quý cô Vi Vũ,767144688259,08/10/1944,0955530107,iduong@example.net,"2 Bùi Ngõ
JaneXã, 520274",Huyết áp cao,6.13,Phương Thị Đặng,15/04/2026
15c1604f-ea16-4354-a35f-c9c198049562,Lâm Đặng,556782920048,30/12/1957,0548979336,hoangjane@example.com,"JohnThành phố
38 Jane Tổ, 510133",Huyết áp cao,5.04,Anh Quang Nguyễn,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Hà Lê,157162397765,07/10/1982,0957560511,jane73@example.net,"775 Jane Đường
Thành phố JanePhường, 214675",Tiểu đường,7.46,Chị Phương Lê,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Anh Thành Lê,549007164573,22/09/1960,0317751850,bbui@example.net,"96 Nguyễn Làng
Huyện JohnXã, 206694",Khỏe mạnh,10.31,Bà Thành Phạm,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Bác Trọng Bùi,018002063648,13/10/1988,0772647352,dangjane@example.com,"9 John Tổ
Quận JaneThành phố, 291936",Huyết áp cao,10.35,Hoàng Hữu Bùi,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Quý cô Hải Mai,871016844066,08/12/1958,0949621282,janevu@example.org,"0 Nguyễn Dãy
Quận JaneXã, 629990",Tim mạch,11.26,Quý ông Châu Bùi,28/03/2026
90bde900-1529-46f5-aad1-1fe87d1b695e,Vi Phạm,003004449215,10/02/1975,0988504601,vujohn@example.net,"7 John Khu
JohnPhường, 562806",Tiểu đường,5.13,Quý cô Hương Phạm,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Quang Trần,124703273982,12/02/1995,0544065660,phamjohn@example.net,"9 Lê Hẻm
Quận JohnXã, 467856",Khỏe mạnh,5.09,Trọng Mai,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Nhiên Vũ,962650139317,15/05/2005,0562008369,lejane@example.org,"Quận JohnQuận
672 Bùi Số, 573947",Tim mạch,8.17,Hải Trần,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Bảo Mai Bảo Đặng,790655108803,11/09/1935,0580367560,duongjane@example.org,"637 Đặng Khu
JohnXã, 993829",Tiểu đường,3.62,Bác Hưng Nguyễn,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Hương Lê,884336938767,02/06/1995,0349554693,bnguyen@example.org,"Huyện JohnHuyện
5 Trần Tổ, 796787",Tim mạch,10.27,Cô Kim Vũ,15/02/2026
b4258e19-1758-447e-a7cd-e1436de21429,An Phạm,810219953890,02/04/2000,0738235106,lejohn@example.net,"516 Jane Ngõ
Thị xã JohnPhường, 945106",Tim mạch,5.49,Hà Đặng,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Chị Hà Mai,585826248581,06/07/1936,0995933055,janedang@example.net,"97 John Ngõ
Thành phố JaneHuyện, 550246",Huyết áp cao,6.42,Hoàng Hải Vũ,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Nam Vũ,141902354367,27/04/1963,0848121005,janevu@example.net,"61 Jane Ngõ
Huyện JaneQuận, 505629",Tiểu đường,10.05,Thành Xuân Dương,15/01/2026
0387f74d-1149-4096-965d-744f0445c1a8,Trung Nguyễn,173149436993,03/08/1943,0741188193,smai@example.net,"61 Jane Ngõ
JohnXã, 313068",Khỏe mạnh,10.63,Bà Kim Hoàng,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Hạnh Bùi,443279670134,02/11/1967,0713361474,phamjohn@example.com,"21 John Đường
Thị xã JaneXã, 642347",Huyết áp cao,5.53,Phúc Đặng,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,An Đặng,316379700829,15/10/1993,0357405720,john49@example.net,"5 Jane Hẻm
JohnHuyện, 910894",Huyết áp cao,10.02,Khoa Trần,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Mai Nguyễn,108181584566,26/07/1999,0823565708,jane22@example.org,"536 Vũ Ngõ
JohnXã, 806033",Tim mạch,8.74,Lan Phạm,11/04/2026
66a302d6-f43e-4c48-8bc1-f9e5fb3df063,Nhật Vũ,252542243451,23/08/1977,0533315625,john87@example.org,"4 Jane Tổ
JohnPhường, 673108",Tim mạch,5.48,Chị Ngọc Bùi,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Linh Nguyễn,629277130335,27/07/1986,0379565194,john38@example.org,"410 Jane Tổ
JohnXã, 200219",Khỏe mạnh,5.1,Quý cô Hà Hoàng,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Chị Hạnh Vũ,196712579149,26/03/1978,0339507166,udang@example.com,"291 John Hẻm
JaneHuyện, 526259",Tim mạch,10.47,Phương Đặng,10/02/2026
43d78f2b-769d-41e3-8eed-412473b0d676,Hà Lê,138164535276,05/10/1976,0858549098,phamjane@example.org,"68 Jane Khu
Thành phố JaneThị xã, 682959",Huyết áp cao,7.82,Cô Chi Trần,28/01/2026
d49347fc-0fc9-4d2e-830f-9be91f178f93,Chị Mai Bùi,984143231055,08/01/1986,0300192810,hoangjane@example.org,"721 Trần Đường
JohnQuận, 701761",Tim mạch,11.05,Nhật Hữu Dương,06/01/2026
2c3d17e2-6d39-4a75-aee7-0ab261fa8e7a,Trung Xuân Vũ,578736632587,12/06/1973,0850999473,cle@example.net,"4 Bùi Dãy
Thành phố JaneThị xã, 243902",Khỏe mạnh,10.34,Lâm Hải Mai,04/01/2026
